"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE929082913155";"Hausdach";"In Betrieb";"22.3.2023";"23.3.2023";"Solare Strahlungsenergie";"4,92";"4,92";"86836";"Untermeitingen";"(natürliche Person)";"ABR935666743599";"20.1.2024"
"SEE945438671418";"Balkon";"In Betrieb";"23.3.2023";"23.3.2023";"Solare Strahlungsenergie";"0,76";"0,6";"86399";"Bobingen";"(natürliche Person)";"ABR993322770167";"23.3.2023"
"SEE959084777448";"Terrassenkraftwerk";"In Betrieb";"18.2.2023";"23.3.2023";"Solare Strahlungsenergie";"0,75";"0,6";"84051";"Essenbach";"(natürliche Person)";"ABR947951841309";"2.5.2023"
"SEE976066354442";"Bei mir zu Hause";"In Betrieb";"22.3.2023";"23.3.2023";"Solare Strahlungsenergie";"9,99";"9,99";"89346";"Bibertal";"(natürliche Person)";"ABR923080214511";"2.6.2023"
"SEE997195815987";"Weigert PV";"In Betrieb";"23.3.2023";"23.3.2023";"Solare Strahlungsenergie";"9,88";"9,88";"94339";"Leiblfing";"(natürliche Person)";"ABR993341133943";"18.7.2023"
"SEE923060155735";"Garagendach";"In Betrieb";"23.3.2023";"23.3.2023";"Solare Strahlungsenergie";"7,29";"7,29";"86929";"Penzing";"(natürliche Person)";"ABR966899223862";"22.1.2024"
"SEE993629422752";"ABR912017282693";"In Betrieb";"13.1.2023";"23.3.2023";"Solare Strahlungsenergie";"9,72";"8";"87700";"Memmingen";"(natürliche Person)";"ABR907760624920";"22.2.2024"
"SEE978687539352";"PV-Anlage Gartenweg";"In Betrieb";"26.8.2022";"23.3.2023";"Solare Strahlungsenergie";"5,76";"5,76";"97241";"Bergtheim";"(natürliche Person)";"ABR908066898923";"14.4.2023"
"SEE924026308479";"Dachanlage";"In Betrieb";"23.3.2023";"23.3.2023";"Solare Strahlungsenergie";"10,27";"8";"97475";"Zeil";"(natürliche Person)";"ABR932085181711";"23.3.2023"
"SEE927347716893";"PV Anlage 2023";"In Betrieb";"23.3.2023";"23.3.2023";"Solare Strahlungsenergie";"13,12";"10";"82278";"Althegnenberg";"(natürliche Person)";"ABR953027459798";"5.6.2023"
"SEE917655771677";"C000391953_RW_Hausdach";"In Betrieb";"17.3.2023";"23.3.2023";"Solare Strahlungsenergie";"6,93";"5,5";"91341";"Röttenbach";"(natürliche Person)";"ABR919033378072";"23.3.2023"
"SEE983252386927";"ABR976495259592";"In Betrieb";"23.3.2023";"23.3.2023";"Solare Strahlungsenergie";"0,75";"0,6";"63864";"Glattbach";"(natürliche Person)";"ABR976495259592";"23.3.2023"
"SEE923725397920";"PV-Anlage Dach";"In Betrieb";"28.2.2023";"23.3.2023";"Solare Strahlungsenergie";"8,8";"8";"93051";"Regensburg";"(natürliche Person)";"ABR956362137352";"14.12.2023"
"SEE917645519258";"14A";"In Betrieb";"20.3.2023";"23.3.2023";"Solare Strahlungsenergie";"9,02";"7";"96450";"Coburg";"(natürliche Person)";"ABR925965301736";"23.5.2023"
"SEE999785845343";"Balkonkraftwerk";"In Betrieb";"23.3.2023";"23.3.2023";"Solare Strahlungsenergie";"0,83";"0,6";"63743";"Aschaffenburg";"(natürliche Person)";"ABR939526168638";"12.10.2023"
"SEE933506121521";"PV-GGS";"In Betrieb";"10.3.2023";"23.3.2023";"Solare Strahlungsenergie";"9,99";"9,99";"91257";"Pegnitz";"(natürliche Person)";"ABR986950850745";"23.3.2023"
"SEE946493890028";"Balkonkraftwerk";"In Betrieb";"23.3.2023";"23.3.2023";"Solare Strahlungsenergie";"0,82";"0,6";"97199";"Ochsenfurt";"(natürliche Person)";"ABR995594320132";"15.1.2024"
"SEE938067289758";"E3DC S10";"In Betrieb";"10.4.2023";"23.3.2023";"Solare Strahlungsenergie";"7,98";"7,98";"82538";"Geretsried";"(natürliche Person)";"ABR916118857033";"12.9.2023"
"SEE904970699113";"BliBlaBlubb";"In Betrieb";"23.3.2023";"23.3.2023";"Solare Strahlungsenergie";"0,82";"0,6";"81545";"München";"(natürliche Person)";"ABR942427457510";"23.3.2023"
"SEE917731347987";"200007357031";"In Betrieb";"21.3.2023";"23.3.2023";"Solare Strahlungsenergie";"13,02";"10";"83395";"Freilassing";"(natürliche Person)";"ABR917294759647";"13.12.2023"
